Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%),Driver Vintage
Intel(R) Dual Band Wireless-AC 8265 - 20.70.24.1,463980,3993,1280,529,469253,Intel(R) Dual Band Wireless-AC 8265,20.70.24.1,98.9,2021-05-09
Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.0.3,330126,3511,215,408,333852,Intel(R) Wi-Fi 6E AX211 160MHz,22.170.0.3,98.9,2022-08-28
Intel(R) Wi-Fi 6 AX200 160MHz - 23.40.0.4,715608,6259,1810,1343,723677,Intel(R) Wi-Fi 6 AX200 160MHz,23.40.0.4,98.9,2024-03-09
Realtek 8822CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,15933,156,7,36,16096,Realtek 8822CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.3,99.0,2024-01-14
Intel(R) Wi-Fi 6E AX211 160MHz - 22.200.2.1,3432660,27557,8239,7216,3468456,Intel(R) Wi-Fi 6E AX211 160MHz,22.200.2.1,99.0,2023-03-08
Intel(R) Dual Band Wireless-AC 8265 - 20.70.32.1,2259575,15175,8360,3471,2283110,Intel(R) Dual Band Wireless-AC 8265,20.70.32.1,99.0,2022-07-23
Intel(R) Wi-Fi 6E AX210 160MHz - 22.150.0.3,64417,165,456,65,65038,Intel(R) Wi-Fi 6E AX210 160MHz,22.150.0.3,99.0,2022-05-23
Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.1.2,38275980,236112,140001,66603,38652093,Intel(R) Wi-Fi 6 AX201 160MHz,23.60.1.2,99.0,2024-06-02
Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.1.3,143498,637,834,266,144969,Intel(R) Wi-Fi 6 AX201 160MHz,23.90.1.3,99.0,2024-10-12
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.0.1.1314,192789,505,1397,379,194691,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,3.0.1.1314,99.0,2023-10-11
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.0.4,210789,592,1573,368,212954,Intel(R) Wi-Fi 6 AX201 160MHz,23.20.0.4,99.0,2023-11-28
Intel(R) Wi-Fi 6 AX201 160MHz - 23.40.0.4,8320966,51055,35322,18463,8407343,Intel(R) Wi-Fi 6 AX201 160MHz,23.40.0.4,99.0,2024-03-09
Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.0.2,21648939,139478,52713,31532,21841130,Intel(R) Wi-Fi 6E AX211 160MHz,23.90.0.2,99.1,2024-09-25
Intel(R) Dual Band Wireless-AC 8260 - 20.70.32.1,981203,3889,5426,1216,990518,Intel(R) Dual Band Wireless-AC 8260,20.70.32.1,99.1,2022-07-23
Intel(R) Wi-Fi 6E AX211 160MHz - 22.130.0.5,2552358,14723,7789,6383,2574870,Intel(R) Wi-Fi 6E AX211 160MHz,22.130.0.5,99.1,2022-03-14
