Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
Intel(R) Dual Band Wireless-AC 8260 - 22.110.0.2,3704651,11842,1893,4457,3718386,Intel(R) Dual Band Wireless-AC 8260,22.110.0.2,99.6
Intel(R) Wi-Fi 6E AX210 160MHz - 23.110.0.5,168711,570,148,383,169429,Intel(R) Wi-Fi 6E AX210 160MHz,23.110.0.5,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 22.180.0.4,17609,69,0,57,17678,Intel(R) Wi-Fi 6E AX211 160MHz,22.180.0.4,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 23.10.0.8,374715,1103,582,591,376400,Intel(R) Wi-Fi 6 AX201 160MHz,23.10.0.8,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.40.0.7,6967559,14013,13188,15301,6994760,Intel(R) Wi-Fi 6 AX201 160MHz,22.40.0.7,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.0.4,1709946,3213,4386,2308,1717545,Intel(R) Wi-Fi 6 AX201 160MHz,22.250.0.4,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.1.1,281655,845,303,407,282803,Intel(R) Wi-Fi 6 AX201 160MHz,22.150.1.1,99.6
Intel(R) Wireless-AC 9462 - 22.70.0.6,79634,243,44,76,79921,Intel(R) Wireless-AC 9462,22.70.0.6,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.20.0.6,838898,1984,1006,885,841888,Intel(R) Wi-Fi 6 AX201 160MHz,22.20.0.6,99.6
Intel(R) Dual Band Wireless-AC 8265 - 22.130.0.5,771673,2131,1043,967,774847,Intel(R) Dual Band Wireless-AC 8265,22.130.0.5,99.6
Intel(R) Wireless-AC 9260 160MHz - 23.110.0.5,11282,42,1,28,11325,Intel(R) Wireless-AC 9260 160MHz,23.110.0.5,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 22.150.1.1,415263,488,1136,485,416887,Intel(R) Wi-Fi 6 AX200 160MHz,22.150.1.1,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 23.120.0.3,188921,768,52,284,189741,Intel(R) Wi-Fi 6E AX211 160MHz,23.120.0.3,99.6
Intel(R) Dual Band Wireless-AC 8260 - 20.70.21.2,102758,182,243,176,103183,Intel(R) Dual Band Wireless-AC 8260,20.70.21.2,99.6
Intel(R) Dual Band Wireless-AC 8260 - 20.70.23.1,717920,2096,884,680,720900,Intel(R) Dual Band Wireless-AC 8260,20.70.23.1,99.6
Intel(R) Dual Band Wireless-AC 8260 - 20.10.0.6,67206,202,99,58,67507,Intel(R) Dual Band Wireless-AC 8260,20.10.0.6,99.6
"Wi-Fi  (0x14E4, 0x7BF) - 16.0 (1657)",12686,30,25,47,12741,"Wi-Fi  (0x14E4, 0x7BF)",16.0 (1657),99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.0.4,1221641,4258,1009,1908,1226908,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.0.4,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 23.60.1.2,4222460,12021,5504,5759,4239985,Intel(R) Wi-Fi 6 AX200 160MHz,23.60.1.2,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 23.10.0.8,437696,704,931,673,439331,Intel(R) Wi-Fi 6E AX211 160MHz,23.10.0.8,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 22.110.1.1,122610,324,203,195,123137,Intel(R) Wi-Fi 6 AX200 160MHz,22.110.1.1,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 23.30.0.6,580227,1090,1527,1245,582844,Intel(R) Wi-Fi 6 AX200 160MHz,23.30.0.6,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 21.50.1.1,25034,90,10,44,25134,Intel(R) Wi-Fi 6 AX200 160MHz,21.50.1.1,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 21.20.1.1,92845,419,0,114,93264,Intel(R) Wi-Fi 6 AX200 160MHz,21.20.1.1,99.6
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.5,33554,5,112,61,33671,Intel(R) Dual Band Wireless-AC 8265,20.50.0.5,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.90.0.5,329249,445,530,409,330224,Intel(R) Wi-Fi 6 AX201 160MHz,22.90.0.5,99.7
Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.0.4,23630,64,0,54,23694,Intel(R) Wi-Fi 6E AX211 160MHz,22.220.0.4,99.7
Intel(R) Dual Band Wireless-AC 8265 - 20.70.4.2,4313407,10542,2464,4664,4326413,Intel(R) Dual Band Wireless-AC 8265,20.70.4.2,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.190.0.4,1437302,3672,1136,2627,1442110,Intel(R) Wi-Fi 6 AX201 160MHz,22.190.0.4,99.7
Intel(R) Dual Band Wireless-AC 8265 - 21.120.0.9,127884,145,221,136,128250,Intel(R) Dual Band Wireless-AC 8265,21.120.0.9,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.0.4,709347,1642,507,1233,711496,Intel(R) Wi-Fi 6 AX201 160MHz,22.220.0.4,99.7
Intel(R) Wireless-AC 9560 160MHz - 23.120.0.3,37695,125,0,36,37820,Intel(R) Wireless-AC 9560 160MHz,23.120.0.3,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.170.0.3,1088774,2219,583,1765,1091576,Intel(R) Wi-Fi 6 AX201 160MHz,22.170.0.3,99.7
Intel(R) Wi-Fi 6 AX200 160MHz - 22.80.1.1,15041,44,3,57,15088,Intel(R) Wi-Fi 6 AX200 160MHz,22.80.1.1,99.7
Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.5,32600,90,3,50,32693,Intel(R) Wi-Fi 6 AX200 160MHz,22.0.1.5,99.7
Intel(R) Wi-Fi 6 AX200 160MHz - 23.80.1.3,77093,170,24,127,77287,Intel(R) Wi-Fi 6 AX200 160MHz,23.80.1.3,99.7
Intel(R) Wi-Fi 6 AX200 160MHz - 21.10.2.2,1335506,2486,1863,1463,1339855,Intel(R) Wi-Fi 6 AX200 160MHz,21.10.2.2,99.7
