Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
N/A,5270,1,1,15,5272,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.80.0.7,14640,3,1,31,14644,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.80.0.7,3965,1,0,9,3966,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.2.1,22664,6,249,32,22919,100.0%
ath10k_pci,22663,6,0,46,22669,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.240.0.6,7475,2,0,14,7477,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.160.0.4,40062,11,0,64,40073,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.0.0.5,3597,1,1,5,3599,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1118,17519,5,109,28,17633,100.0%
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 23.60.1.2,7014,2,11,13,7027,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.0.2,3322,1,1,7,3324,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.10.0.8,2879,1,0,4,2880,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.1.1,8580,3,0,17,8583,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.1.2,5491,2,0,20,5493,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.110.1.1,5204,2,7,12,5213,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.40.0.7,84556,34,409,162,84999,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.230.0.8,27714,12,103,42,27829,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.20.1.1,96903,43,143,179,97089,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.30.0.6,14893,7,27,29,14927,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.30.1,40208,19,8,68,40235,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.25.2,10513,5,1,20,10519,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.50.0.5,6159,3,0,8,6162,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.0.4,27492,14,5,36,27511,99.9%
Intel(R) Dual Band Wireless-AC 3168 - 19.51.21.1,15589,8,5,22,15602,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.1.1,5836,3,0,9,5839,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.190.0.4,10308,6,2,22,10316,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.0.1.5,1675,1,24,3,1700,99.9%
Intel(R) Wireless-AC 9560 160MHz - 22.30.0.11,1685,1,0,3,1686,99.9%
Intel(R) Wireless-AC 9560 160MHz - 22.120.0.3,3345,2,0,7,3347,99.9%
Intel(R) Wireless-AC 9260 160MHz - 22.90.0.5,25386,16,6,37,25408,99.9%
Intel(R) Wireless-AC 9260 160MHz - 22.120.0.3,1441,1,0,2,1442,99.9%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.27.1,1428,1,8,2,1437,99.9%
16.0 (1657),32495,23,80,254,32598,99.9%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.0.3,4248,3,0,8,4251,99.9%
Intel(R) Wireless-AC 9260 160MHz - 22.250.1.2,5611,4,4,10,5619,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.0.3,10656,8,30,21,10694,99.9%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.170.0.3,6518,5,3,13,6526,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.2.1,75948,60,110,161,76118,99.9%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.190.0.4,3625,3,0,5,3628,99.9%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.33.2.563,2395,2,3,6,2400,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.0.3,7766,7,27,13,7800,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.10.0.7,26159,24,146,66,26329,99.9%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.37.2,2147,2,6,3,2155,99.9%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.20.0.4,3215,3,3,8,3221,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.20.0.6,6321,6,4,9,6331,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.80.1.1,8106,8,90,14,8204,99.9%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.0.7,42146,43,420,74,42609,99.9%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.40.1,5825,6,3,9,5834,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.70.0.6,5814,6,6,13,5826,99.9%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.10.2.2,3651,4,1,6,3656,99.9%
Intel(R) Wireless-AC 9260 160MHz - 22.170.0.3,10721,12,4,16,10737,99.9%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.149.100,13915,16,17,23,13948,99.9%
